,name,id,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector,all_in_index,final_scene_size,drama_change_rate,averageCharinScene,avg_max_degree_ratio,max_degree_num_char_ratio,lowWeightedDegree,mediumWeightedDegree,highWeightedDegree,averageCharSpeech,lowSpeech,mediumSpeech,highSpeech,protagonism,mediateness
309,massinger-the-unnatural-combat,ep000173,Tragedy,1624,25,0.8683752179977782,0.6,1.4,14.4,2,24,25,6,19,0,1,1,180,11,5,20644,19460,442,2,2578,0.017391304347826087,0.734652111344387,0.1901553446038564,1.0,0.44,0.7364285714285714,8.0,0.6,1.0,0.28,0.36,0.36,22.343068322050733,0.28,0.36,0.36,0.004628166760759554,0.5731324933953535
310,may-antigone-the-theban-princess,ep000177,Tragedy,1627,25,0.8274809149510993,0.5666666666666667,1.4333333333333331,13.6,2,24,25,7,18,0,1,1,170,6,5,13133,12122,143,0,1626,0.01884057971014493,0.7184803709033547,0.18920315943840524,1.0,0.5806451612903226,0.6039666854884246,9.0,0.5666666666666667,1.0,0.16,0.48,0.36,55.991691216191214,0.32,0.32,0.36,0.015844324515258645,0.7777256363035744
311,may-cleopatra-queen-of-egypt,ep000178,Tragedy,1626,31,0.8643360583172172,0.6709677419354839,1.3290322580645162,20.12903225806452,2,30,31,2,29,0,3,1,312,5,5,16076,15557,361,117,1953,0.011345939933259176,0.7726147258628543,0.17366017557267968,1.0,0.5714285714285714,0.5980059523809524,14.0,0.6709677419354839,1.0,0.12903225806451613,0.5161290322580645,0.3548387096774194,26.24784895083344,0.3225806451612903,0.3225806451612903,0.3548387096774194,0.00772261411295925,0.41641790675504153
312,may-julia-agrippina-empress-of-rome,ep000179,Tragedy,1628,28,0.9045977955973052,0.8386243386243386,1.1613756613756614,22.642857142857142,2,27,30,7,23,0,2,1,317,5,5,20604,20354,276,127,2521,0.006206756206756207,0.8750790896558457,0.1866474719764166,1.0,0.75,0.5511111111111111,15.0,0.8386243386243386,1.0,0.32142857142857145,0.32142857142857145,0.35714285714285715,27.619742075453328,0.32142857142857145,0.32142857142857145,0.35714285714285715,0.007942034393437823,0.3135228267819842
313,may-the-heir,ep000176,Comedy,1620,28,0.9020729672903586,0.791005291005291,1.208994708994709,21.357142857142858,2,27,28,3,25,0,0,1,299,5,5,18053,17425,260,320,1743,0.008038258038258037,0.8430045405258878,0.1852853561048371,1.0,0.6363636363636364,0.7135048468688174,14.0,0.791005291005291,1.0,0.32142857142857145,0.2857142857142857,0.39285714285714285,18.968436526635724,0.0,0.0,0.0,0.009567278426869906,0.3871560021326135
314,mayne-the-city-match,ep000180,Comedy,1637,22,0.8742148616620892,0.7359307359307359,1.2727272727272727,15.454545454545457,3,20,22,8,14,0,0,1,170,33,5,22808,21070,458,0,3111,0.013636363636363637,0.8057716404062708,0.20608038157565997,1.0,0.4523809523809524,0.6242860633989666,5.0,0.7727272727272727,0.9523809523809523,0.3181818181818182,0.3181818181818182,0.36363636363636365,14.792571456789247,0.0,0.0,0.0,0.005666259910382596,0.4287325690329187
315,middleton-a-chaste-maid-in-cheapside,ep000182,Comedy,1613,42,0.8701997944416313,0.6434378629500581,1.356562137049942,26.38095238095238,2,41,42,10,27,5,1,1,554,5,5,19594,18822,519,689,1324,0.008914053426248547,0.7567237770033034,0.1482465998440528,0.6666666666666666,0.56,0.6131314699792961,19.0,0.643437862950058,1.0,0.21428571428571427,0.2857142857142857,0.5,12.386020325133792,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.006896013538488053,0.37311015376013706
316,middleton-a-game-at-chess,ep000185,Tragicomedy,1624,25,0.89806971975393,0.8233333333333334,1.0275590551181102,19.76,2,22,25,4,20,2,0,2,247,6,5,20189,19424,559,220,2144,0.0010144927536231882,0.8257319212188777,0.19163439706204244,1.0,0.4444444444444444,0.6347770467836257,12.0,0.8981818181818183,0.9166666666666666,0.28,0.32,0.4,21.141001687201687,0.32,0.32,0.36,0.024515517955305616,0.24432046645753794
317,middleton-a-mad-world-my-masters,ep000188,Comedy,1604,27,0.8505241257919202,0.6324786324786325,1.3675213675213675,16.444444444444443,2,26,27,3,23,1,1,1,222,5,5,20272,19856,428,931,443,0.0147008547008547,0.7519615806142766,0.18597343343693243,1.0,0.35135135135135137,0.5759250474383302,12.0,0.6324786324786325,1.0,0.07407407407407407,0.5925925925925926,0.3333333333333333,12.11738204802024,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.00674703372928518,0.43331669233653203
318,middleton-a-trick-to-catch-the-old-one,ep000192,Comedy,1605,37,0.896555780201334,0.6876876876876877,1.3123123123123124,24.75675675675676,2,36,37,4,33,0,0,1,458,5,5,19836,19593,265,930,339,0.008923208923208923,0.7836310197853533,0.15723437382683944,1.0,1.0,0.0,16.0,0.6876876876876877,1.0,0.24324324324324326,0.3783783783783784,0.3783783783783784,17.955142054879566,0.0,0.0,0.0,0.004576894980770832,0.38915281174653665
