,name,id,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector,all_in_index,final_scene_size,drama_change_rate,averageCharinScene,avg_max_degree_ratio,max_degree_num_char_ratio,lowWeightedDegree,mediumWeightedDegree,highWeightedDegree,averageCharSpeech,lowSpeech,mediumSpeech,highSpeech,protagonism,mediateness
21,barbier-mort-de-cesar,fre000077,Tragedy,1709,10,0.4733333333333333,0.3333333333333333,1.9333333333333331,3.0,4.0,6.0,10,3,5,2,0,1.0,15.0,38,0,17241,15499,13,0,1687,0.021212121212121217,0.5020157711185079,0.18085924444856483,0.6578947368421053,0.2,0.6342342342342342,2.0,0.5,0.6666666666666666,0.3,0.3,0.4,40.552989058688624,0.3,0.3,0.4,0.030821478275344892,0.7212193324274246
22,baro-celinde,fre000079,Tragicomedy,1629,22,0.8509847475756569,0.3722943722943723,1.5632183908045978,7.818181818181818,3.0,16.0,22,3,7,12,0,2.0,86.0,30,8,26740,25136,326,317,368,0.05555555555555555,0.7460958794292127,0.3125953192448491,0.9,0.22727272727272727,0.7825533661740557,3.0,0.48863636363636365,0.7619047619047619,0.3181818181818182,0.22727272727272727,0.45454545454545453,55.947073498956556,0.3181818181818182,0.3181818181818182,0.36363636363636365,0.011164962569393611,0.6228450845898362
23,baro-clarimonde,fre000080,Tragicomedy,1643,9,0.7666666666666667,0.6111111111111112,1.3888888888888888,4.888888888888889,2.0,8.0,9,1,7,1,0,1.0,22.0,26,5,16536,15548,55,0,1835,0.02976190476190476,0.8697916666666666,0.34385181724412706,0.38461538461538464,0.5555555555555556,0.6806666666666668,3.0,0.6111111111111112,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,32.66749190938511,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.008655091395799385,0.9556369651349932
24,baro-clorise,fre000081,Tragicomedy,1634,8,0.9404761904761904,0.8214285714285714,1.1785714285714286,5.75,2.0,7.0,8,3,5,0,0,1.0,23.0,27,5,17646,16173,188,0,1939,0.08333333333333333,0.6997660427807486,0.32677951664076454,0.37037037037037035,0.875,0.6213369963369964,2.0,0.8214285714285714,1.0,0.375,0.25,0.375,29.686275740402262,0.375,0.25,0.375,0.00347676544138517,0.7071067811865475
25,baro-parthenie,fre000082,Tragicomedy,1637,8,0.7250000000000001,0.6428571428571429,1.5,4.5,3.0,6.0,8,2,6,0,0,1.0,18.0,21,5,16501,15095,22,0,1756,0.022222222222222223,0.8523748978294433,0.29713514782855294,0.5238095238095238,0.5,0.6641666666666667,3.0,0.75,0.8571428571428571,0.375,0.25,0.375,40.76681761119082,0.375,0.25,0.375,0.015158136227142835,0.727606875108999
26,baro-prince-fugitif,fre000083,Tragicomedy,1649,11,0.8715728715728716,0.8,1.2,8.0,2.0,10.0,11,2,7,2,0,1.0,44.0,25,5,14581,13485,46,0,1586,0.04385964912280701,0.5624570891890015,0.19654416225233703,1.0,0.7272727272727273,0.6307539682539681,3.0,0.8,1.0,0.36363636363636365,0.18181818181818182,0.45454545454545453,34.247547603911244,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.0035092650371201335,0.47293959739154523
27,baro-saint-eustache,fre000084,Tragedy,1639,21,0.7755668934240363,0.319047619047619,1.8333333333333333,6.380952380952381,3.0,16.0,21,3,8,10,0,1.0,67.0,23,5,15542,14420,102,0,1714,0.04345238095238096,0.6445628567339093,0.22528116284334648,0.8695652173913043,0.2857142857142857,0.8017316017316017,3.0,0.39880952380952384,0.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,30.81265814871569,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0069054505481051616,0.6597737503936004
28,barquebois-rapiniere,fre000085,Comedy,1683,16,0.7733585858585859,0.4416666666666666,1.6083333333333334,6.625,3.0,12.0,16,4,8,4,0,1.0,53.0,44,5,19978,18741,185,2,2172,0.09494949494949495,0.5638321230426494,0.27358996411501685,0.9772727272727273,0.25,0.5925895164267256,3.0,0.5520833333333334,0.8,0.25,0.375,0.375,16.881395333568726,0.3125,0.3125,0.375,0.006128569552383587,0.600131612289935
29,benserade-cleopatre,fre000101,Tragedy,1635,11,0.5268398268398269,0.3818181818181818,1.8545454545454545,3.8181818181818175,4.0,7.0,11,3,6,2,0,1.0,21.0,27,5,18251,17243,104,0,1900,0.07727272727272726,0.5836138601489479,0.2545412820168649,0.5185185185185185,0.2727272727272727,0.7999999999999999,2.0,0.5454545454545455,0.7,0.2727272727272727,0.36363636363636365,0.36363636363636365,66.23985674572059,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.009523810356553732,0.6100760533852023
30,benserade-mort-achille,fre000102,Tragedy,1635,12,0.737037037037037,0.4393939393939394,1.7727272727272727,4.833333333333333,3.0,9.0,12,3,7,2,0,1.0,29.0,22,5,17628,16401,80,0,1792,0.09545454545454544,0.5307061533381728,0.2609677674328908,1.0,0.25,0.6825396825396826,3.0,0.537037037037037,0.8181818181818182,0.3333333333333333,0.3333333333333333,0.3333333333333333,59.363325718514204,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.03537190779358151,0.9246980953499337
31,bernard-brutus,fre000115,Tragedy,1690,12,0.4416666666666666,0.3181818181818182,1.9545454545454544,3.5,4.0,6.0,12,4,7,1,0,1.0,21.0,36,5,15711,13981,9,0,1609,0.10119047619047618,0.6559695512820513,0.3286274290183095,0.8333333333333334,0.25,0.6095238095238097,2.0,0.5833333333333334,0.5454545454545454,0.16666666666666666,0.5,0.3333333333333333,48.36749595460122,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.032033619303884805,0.5573852205801733
32,bernard-laodamie,fre000116,Tragedy,1688,8,0.6583333333333334,0.5,1.6071428571428572,3.5,3.0,6.0,8,2,4,2,0,1.0,14.0,40,0,14171,13164,0,0,1466,0.01944444444444444,0.88625,0.30733790842300784,0.325,0.25,0.6410256410256412,2.0,0.5833333333333334,0.8571428571428571,0.375,0.125,0.5,54.37020273669864,0.375,0.25,0.375,0.01768192000654161,0.633041953607997
33,bertaut-le-jugement-de-job-et-d-uranie,fre001518,Comedy,1643,10,0.961111111111111,0.8444444444444444,1.1555555555555554,7.6,2.0,9.0,10,0,4,6,0,1.0,38.0,3,0,1838,961,57,0,75,0.0202020202020202,0.8669915942643215,0.29296163416075477,1.0,0.3,0.9,4.0,0.8444444444444444,1.0,0.1,0.0,0.9,23.5125,0.3,0.3,0.4,0.0038412871666740475,0.7071067811865476
34,beys-celine,fre000119,Tragicomedy,1633,11,0.9343434343434344,0.8181818181818182,1.181818181818182,8.181818181818182,2.0,10.0,11,4,6,1,0,1.0,45.0,21,5,14199,13645,210,0,1519,0.02564102564102564,0.792360853432282,0.25229911652261117,1.0,0.8181818181818182,0.77125,3.0,0.8181818181818181,1.0,0.36363636363636365,0.2727272727272727,0.36363636363636365,54.759377119240824,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.002626486802508594,0.7032108464077431
35,biancollelli-arlequin-gentilhomme,fre000127,Comedy,1708,14,0.9192640692640692,0.7032967032967034,1.3076923076923077,9.142857142857142,3.0,12.0,14,4,8,2,0,1.0,64.0,51,3,18386,16349,590,4,1719,0.0,1.0,0.5,1.0,0.42857142857142855,0.624090909090909,3.0,0.7619047619047619,0.9230769230769231,0.2857142857142857,0.35714285714285715,0.35714285714285715,27.118871176475054,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.010635426404023133,0.7603507042790454
