id,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource/0,digitalSource/1,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength
ita######,cicognini-mustafa,cicognini-mustafa,,,false,Cicognini,Il Mustafà,,0,carlo,56,3,20,16,3,1,0,824,60,,20934,20505,296,,,1663,1663,https://www.archive.org/details/bub_gb_cyIeh9UfrjAC,,,,,,8.5,0.4473684210526316,0.780924075924076,20,14,3,85,3,1.5163398692810457
fre000347,corneillep-rodogune,corneillep-rodogune,Q2161210,Tragedy,false,Corneille,"Rodogune, Princesse des Parthes",Tragédie,0,cleopatre|rodogune,26,5,7,4,3,0,0,0,1889,0,19574,17071,115,,1644,1647,1644,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_RODOGUNE.xml,http://theatre-classique.fr/pages/documents/CORNEILLEP_RODOGUNE.xml,,,,,4.571428571428571,0.7619047619047619,0.8476190476190476,7,6,1,16,2,1.2380952380952381
fre000383,corneillet-mort-d-achille,corneillet-mort-d-achille,,Tragedy,false,Corneille,La Mort d'Achille,Tragédie,0,briseis,25,5,8,4,4,0,0,0,1781,,16306,16103,9,,1673,1673,1673,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_MORTDACHILLE.xml,http://theatre-classique.fr/pages/documents/CORNEILLET_MORTDACHILLE.xml,,,,,3.25,0.4642857142857143,0.6125,8,6,1,13,3,1.6428571428571428
span######,cruz-empenos-casa,cruz-empenos-casa,,Comedy,false,Cruz,Los empeños de una casa,,0,several characters,3,3,18,8,2,8,3,0,3498,,18334,17951,443,1683,,,1683,,,,,,,15.222222222222221,0.8954248366013072,0.9477124183006538,18,17,1,137,2,1.1045751633986929
fre000425,dalibray-soliman,dalibray-soliman,,Tragicomedy,false,Dalibray,Soliman,Tragi-Comédie.,0,soliman|rustan|mustapha,31,5,16,13,3,0,0,0,1749,,24694,15313,0,,1637,1768,1637,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DALIBRAY_SOLIMAN.xml,http://theatre-classique.fr/pages/documents/DALIBRAY_SOLIMAN.xml,,,,,8.25,0.55,0.8188148656898656,16,13,1,66,2,1.45
fre000432,dancourt-chevalier-a-la-mode,dancourt-chevalier-a-la-mode,,Comedy,false,Dancourt,Le Chevalier à la Mode,Comédie en un Acte,0,madame-patin,47,5,11,7,4,0,0,1041,8,,24226,23795,59,,1687,1687,1687,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DANCOURT_CHEVALIERALAMODE.xml,http://theatre-classique.fr/pages/documents/DANCOURT_CHEVALIERALAMODE.xml,,,,,6.363636363636363,0.6363636363636364,0.8501443001443001,11,10,1,35,2,1.3636363636363635
fre000466,dancourt-parisienne,dancourt-parisienne,,Comedy,false,Dancourt,La Parisienne,Comédie en un Acte,0,several characters,25,1,9,6,3,0,0,449,0,,7980,7760,9,,1691,1691,1691,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DANCOURT_PARISIENNE.xml,http://theatre-classique.fr/pages/documents/DANCOURT_PARISIENNE.xml,,,,,6.444444444444445,0.8055555555555556,0.8888888888888888,9,8,1,29,2,1.1944444444444444
ep000360,daniel-cleopatra,daniel-cleopatra,,Tragedy,false,Daniel,Cleopatra,,0,ep000360-chorus|ep000360-caesar|ep000360-seleucus,12,5,13,9,1,1,1,0,1589,,14838,12458,3,1594,,,1594,https://texts.earlyprint.org/works/A19816_03.xml,,,,,,2.4615384615384617,0.20512820512820512,0.3692307692307692,13,5,3,16,4,1.763157894736842
ep000359,daniel-philotas,daniel-philotas,,Tragedy,false,Daniel,Philotas,,0,ep000359-craterus,12,5,25,21,2,1,2,0,2134,,18836,17373,66,1605,,,1605,https://texts.earlyprint.org/works/A19812_02.xml,,,,,,7.52,0.31333333333333335,0.7661645021645022,25,15,1,94,4,2.0366666666666666
ita000059,de-dottori-aristodemo,de-dottori-aristodemo,Q3622694,Tragedy,false,Dottori,Aristodemo,,0,policare|coro,34,5,12,7,4,1,1,0,3113,0,18682,18472,98,1657,,1670,1657,http://www.bibliotecaitaliana.it/testo/bibit000416,,UTET,Torino,,,5,0.45454545454545453,0.6765873015873017,12,8,1,30,3,1.6515151515151516
