,name,language,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,datePremiered,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector
81,matos-hidalgo-mancha,ESP,Comedy,1673,27,0.8927414885309622,0.7492877492877493,1.2507122507122508,19.48148148148148,2,0,26,27,6,19,1,1,1,263,3,3,16969,16150,973,0,3328,0.01002849002849003,0.8206275720164609,0.18851897088656203
82,matthieu-aman,FRE,Tragedy,1589,8,0.7785714285714285,0.5714285714285714,1.4285714285714286,4.0,2,0,7,8,2,5,1,2,1,16,15,5,28727,27471,1221,0,3695,0.07142857142857141,0.7198232323232323,0.3388330379569983
83,memmolo-susanna,ITA,Tragedy,1632,13,0.6249084249084249,0.3333333333333333,2.0128205128205128,4.0,4,0,8,13,2,9,2,1,1,26,19,5,18689,17965,49,0,2783,0.09207459207459208,0.5142072184721912,0.24582144311174126
84,mitternacht-unglueckselige-soldat,GER,Tragedy,1662,59,0.7977251394728936,0.1122150789012273,2.661654135338346,6.508474576271187,5,0,24,59,4,48,7,0,3,192,32,5,26529,22617,761,255,179,0.027192469777600054,0.35839326311376246,0.08164683259601062
85,moliere-sganarelle,FRE,Comedy,1660,9,0.6206349206349207,0.5,1.5277777777777777,4.0,3,1660-05-28,7,9,3,6,0,0,1,18,24,1,13090,7614,4617,0,714,0.07539682539682538,0.6800483467150134,0.30745812698504593
86,montchretien-carthaginoise,FRE,Tragedy,1601,10,0.738095238095238,0.4666666666666667,1.4166666666666667,4.2,2,0,7,10,4,5,1,1,2,21,6,5,17111,16755,0,0,1827,0.041666666666666664,0.578309591642925,0.2884089971009715
87,montenegro-toma-buda,ESP,0,1687,38,0.8123839979204981,0.3172119487908961,1.9943100995732572,11.736842105263158,4,0,22,38,1,15,22,6,1,223,15,1,13298,12504,873,2,2620,0.027619724988146042,0.5161954144239844,0.14094625189474244
88,monteser-caballero-olmedo,ESP,Tragedy,1621,11,1.0,1.0,1.0,10.0,1,0,10,11,2,7,2,1,1,55,3,3,11219,10914,281,0,2031,0.0,1.0,0.30151134457776363
89,moreto-desden-con-desden,ESP,Comedy,1654,11,0.9676767676767678,0.9636363636363636,1.0363636363636364,9.636363636363637,2,0,10,11,5,6,0,2,1,53,3,3,16266,15900,430,0,3135,0.00404040404040404,0.9683195592286501,0.30104465350151194
90,moreto-lindo-don-diego,ESP,Comedy,1662,8,1.0,1.0,1.0,7.0,1,0,7,8,4,7,0,0,1,28,5,1,6300,6197,223,0,1087,0.0,1.0,0.3535533905932738
91,motteux-beauty-in-distress,ENG,Tragedy,1698,19,0.9339525283797732,0.8947368421052632,1.105263157894737,16.105263157894736,2,0,18,22,6,15,1,3,1,153,5,5,34013,20676,1384,0,2286,0.006191950464396284,0.915223585278987,0.2276400658458387
92,murer-absolom,GER,0,1565,83,0.8523458097364638,0.1913017925359976,1.9770790478989129,15.686746987951809,3,0,62,83,7,72,4,2,1,651,21,5,19217,17918,1438,1,2578,0.012062704295048304,0.5146540379152026,0.0892961988364404
93,murer-esther,GER,0,1567,24,0.8420249369939774,0.6268115942028986,1.4057971014492754,14.416666666666666,3,0,22,24,3,21,0,0,1,173,7,6,9295,8436,1200,4,1247,0.01844532279314888,0.7367540296471748,0.1929331901355386
94,nabbes-the-unfortunate-mother,ENG,Tragedy,1639,14,0.9798534798534798,0.978021978021978,1.021978021978022,12.714285714285714,2,0,13,14,3,10,1,0,1,89,5,5,15033,14129,277,0,2073,0.0018315018315018315,0.9802721088435374,0.2670473052304615
