,name,language,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,all-in_index,final_scene_size,drama_change_rate,protagonism,mediateness
143,weise-baeurischer-machiavellus,GER,Comedy,1679.0,48.0,0.8863744862297831,0.3138297872340425,1.4565217391304348,14.75,3.0,23.0,48.0,6.0,42.0,0.0,0.0,2.0,354.0,34.0,6.0,26996.0,26199.0,833.0,523.0,631.0,1.0,0.3333333333333333,0.9159625282619935,0.006093198774933629,0.30170500119746657
144,weise-masaniello,GER,Tragedy,1682.0,75.0,0.713138768728755,0.1733333333333333,1.9338022341745968,12.826666666666666,3.0,52.0,75.0,11.0,63.0,1.0,0.0,4.0,481.0,99.0,5.0,40160.0,38084.0,1903.0,1647.0,68.0,1.0,0.013333333333333334,0.8164075153871069,0.012380811988899088,0.7919847950082092
145,weise-ungleich-liebesalliance,GER,Comedy,1708.0,51.0,0.7074995742291634,0.2823529411764706,2.069019607843137,14.117647058823527,4.0,26.0,51.0,13.0,38.0,0.0,0.0,1.0,360.0,90.0,5.0,47637.0,46801.0,968.0,1723.0,36.0,0.9333333333333333,0.19607843137254902,0.7499383887024337,0.02048374153957794,0.7683498199278325
146,woodes-the-conflict-of-conscience,ENG,Comedy,1572.0,18.0,0.7050468050468051,0.261437908496732,1.7416666666666667,4.444444444444445,3.0,14.0,18.0,0.0,11.0,7.0,0.0,3.0,40.0,16.0,6.0,21364.0,19186.0,60.0,0.0,1946.0,1.0,0.05555555555555555,0.7738095238095238,0.0,0.0
147,zamora-cada-uno,ESP,0,1708.0,33.0,0.8256782035666792,0.4678030303030303,1.5738636363636365,14.969696969696969,3.0,27.0,33.0,4.0,17.0,12.0,0.0,1.0,247.0,18.0,3.0,18240.0,16983.0,1406.0,0.0,3610.0,1.0,0.3939393939393939,0.7016690009337068,0.003844031967224729,0.497732163762065
148,zamora-ser-fino-y-no-parecerlo,ESP,0,1701.0,35.0,0.8233148805534755,0.4403361344537815,1.5798319327731092,14.971428571428572,3.0,30.0,35.0,9.0,9.0,17.0,0.0,1.0,262.0,19.0,3.0,15998.0,15138.0,1141.0,0.0,3268.0,0.7368421052631579,0.37142857142857144,0.7978950062283396,0.027330590169152815,0.6886726060407447
149,zayas-traicion-amistad,ESP,Comedy,1630.0,13.0,0.958041958041958,0.9487179487179488,1.051282051282051,11.384615384615383,2.0,12.0,13.0,5.0,8.0,0.0,0.0,1.0,74.0,3.0,3.0,15794.0,15550.0,269.0,1.0,3063.0,1.0,0.8461538461538461,0.25757575757575757,0.023597232905746796,0.8266562341444811
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014099722344333166,0.47467968611382694
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027683461721737402,0.9914773351690749
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00702213558536289,0.4226127155225816
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008913655130314758,0.5233280580598824
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013348065855529995,0.33333333333333337
