language;id;author;author_wikidata;title;title_wikidata;genre;year_normalized
SPA;19; Juan Maldonado - Diego de la Dueña -  Jerónimo de Cifuentes;n/a;La mas costante mujer;n/a;COM;1658
SPA;20; Agustín Moreto y Cavana;Q399346;El desdén con el desdén;Q5824627;COM;1654
SPA;21; Agustín Moreto y Cavana;Q399346;El lindo don Diego;Q5825576;COM;1662
SPA;22; Pedro Calderón de la Barca;Q170800;Suenos hay que verdad son;n/a;AUTO;1670
SPA;23;Juan de Matos Fragoso - Juan Bautista Diamante - Juan V�lez de Guevara;Q6301294 - Q3187575 - Q3187815;El hidalgo de la Mancha;n/a;COM;1673
SPA;24; Juan Bautista Diamante;Q3187575;El Hércules de Ocaña;n/a;COM;1673
SPA;25; Sor Juana Inés de la Cruz;Q183074;Los empeños de una casa;Q5980840;COM;1683
SPA;26; Juan de  Montenegro y Neira;n/a;La toma de Buda;n/a;AUTO;1687
SPA;27; Francisco Bances y Candamo;Q1962299;El esclavo en grillos de oro;n/a;COM;1692
SPA;28; Antonio de Zamora;Q606094;Ser fino y no parecerlo;n/a;COM;1692
SPA;29; Ferdinando Romero;n/a;Aunque las razones basten,  nunca la justicia sobra;n/a;COM;1701
SPA;30; Antonio de Zamora;Q606094;Duendes son los alcahuetes y el espíritu Foleto;n/a;COM;1709
ENG;1; Thomas Norton - Thomas Sackville;Q337443 - Q670967;Gorboduc;n/a;TRAG;1561
ENG;2; Ulpian Fulwell;Q7879758;Like Will to Like;n/a;INT;1568
ENG;3; Nathaniel Woodes;n/a;The Conflict of Conscience;n/a;COM;1572
ENG;4; George Gascoigne;Q333528;The Glass of Government;n/a;TGC;1575
ENG;5; Christopher Marlowe;Q28975;Dr. Faustus;Q50919;TRAG;1587
ENG;6; George Peele;Q704626;The Love of David and Fair Bathsheba;Q60794530;TRAG;1590
ENG;7; Samuel Daniel;Q954735;Cleopatra;n/a;TRAG;1594
ENG;8; Ben Jonson;Q193857;Every Man Out of His Humour;Q193857;COM;1599
ENG;9; Samuel Daniel;Q954735;Philotas;n/a;TRAG;1605
ENG;10; Lording Barry;Q13227038;Ram Alley;n/a;COM;1608
ENG;11; Thomas Dekker;Q336189;If It Be Not Good,  the Devil Is in It;n/a;COM;1611
ENG;12; Ben Jonson;Q193857;The Staple of News;Q668812;COM;1614
ENG;13; Thomas Dekker;Q336189;The Noble Spanish Soldier;Q7754258;TRAG;1622
ENG;14; John Fletcher;Q312444;A Wife for a Month;Q17026288;TGC;1624
ENG;15; James Shirley;Q1349914;The Example;Q7732739;COM;1634
ENG;16; Thomas Nabbes;Q7792668;The Unfortunate Mother;Q20745553;TRAG;1639
ENG;17; James Shirley;Q1349914;The Court Secret;Q16828249;TGC;1642
ENG;18; John Denham;Q1248337;The Sophy;n/a;TRAG;1642
ENG;19; Robert Baron;Q7341889;Mirza;n/a;TRAG;1655
ENG;20; Thomas Tomkis;Q7794501;Lingua, or The Combat of the Tongue and the Five Senses for Superiority;Q6553973;COM;1657
ENG;21; Thomas Porter;Q7793222;The Carnival;Q25204117;COM;1664
ENG;22; Abraham Bailey;n/a;The Spiteful Sister;n/a;COM;1667
ENG;23; Thomas Duffet;Q7789081;The Mock Tempest, or The Enchanted Castle;Q7751841;COM;1675
ENG;24; Thomas Shadwell;Q1230771;The Libertine;Q28457734;TRAG;1676
ENG;25; Edward Ravenscroft;Q3048652;Dame Dobson, or The Cunning Woman;Q107556839;COM;1684
ENG;26; Francis Fane;Q3081426;The Sacrifice;n/a;TRAG;1687
ENG;27; Mary Pix;Q3296230;Ibrahim, the Thirteenth Emperor of the Turks;Q65054481;TRAG;1696
ENG;28; Peter Motteux;Q3382857;Beauty in Distress;Q104858515;TRAG;1698
ENG;29; Nicholas Rowe;Q1382306;The Fair Penitent;n/a;TRAG;1702
ENG;30; Susannah Centlivre;Q931103;The Man's Bewitched;n/a;COM;1709
